category,speciesCode,comName,sciName,familyComName,familySciName,order,taxonOrder
species,wilsni1,Wilson's Snipe,Gallinago delicata,Sandpipers and Allies,Scolopacidae,Charadriiformes,6042
species,wlswar,Wilson's Warbler,Cardellina pusilla,New World Warblers,Parulidae,Passeriformes,34055
species,winwre3,Winter Wren,Troglodytes hiemalis,Wrens,Troglodytidae,Passeriformes,27054
species,wooduc,Wood Duck,Aix sponsa,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,441
species,woothr,Wood Thrush,Hylocichla mustelina,Thrushes and Allies,Turdidae,Passeriformes,28095
species,woewar1,Worm-eating Warbler,Helmitheros vermivorum,New World Warblers,Parulidae,Passeriformes,33673
species,yelrai,Yellow Rail,Coturnicops noveboracensis,"Rails, Gallinules, and Coots",Rallidae,Gruiformes,5569
species,yelwar,Yellow Warbler,Setophaga petechia,New World Warblers,Parulidae,Passeriformes,33807
species,yebfly,Yellow-bellied Flycatcher,Empidonax flaviventris,Tyrant Flycatchers,Tyrannidae,Passeriformes,16782
species,yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius,Woodpeckers,Picidae,Piciformes,11016
species,yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,Cuckoos,Cuculidae,Cuculiformes,3188
species,yebcha,Yellow-breasted Chat,Icteria virens,Yellow-breasted Chat,Icteriidae,Passeriformes,33281
species,ycnher,Yellow-crowned Night Heron,Nyctanassa violacea,"Herons, Egrets, and Bitterns",Ardeidae,Pelecaniformes,7504
species,yerwar,Yellow-rumped Warbler,Setophaga coronata,New World Warblers,Parulidae,Passeriformes,33874
species,yetvir,Yellow-throated Vireo,Vireo flavifrons,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,Passeriformes,19021
species,yetwar,Yellow-throated Warbler,Setophaga dominica,New World Warblers,Parulidae,Passeriformes,33883
